Date,OPEN,HIGH,LOW,Close,VOLUME
21/07/2014 9:10,2160.2,2161,2160.2,2161,768
21/07/2014 9:15,2160.2,2161.2,2158.2,2161.2,9416
21/07/2014 9:20,2161.4,2162,2160.2,2160.6,6550
21/07/2014 9:25,2160.6,2161.2,2158,2158,6566
21/07/2014 9:30,2158,2161.6,2158,2160.8,7474
21/07/2014 9:35,2161,2163,2159.2,2162,10435
21/07/2014 9:40,2162,2165.6,2162,2163.8,14066
21/07/2014 9:45,2163.8,2164.2,2161.8,2162.6,7790
21/07/2014 9:50,2162.6,2163.2,2160.4,2161,8384
21/07/2014 9:55,2161,2161.2,2159.2,2160.2,8424
21/07/2014 10:00,2160.4,2160.8,2159.4,2159.4,5424
21/07/2014 10:05,2159.4,2162.2,2159.2,2161.8,7353
21/07/2014 10:10,2161.8,2163,2161.2,2162.6,6843
21/07/2014 10:15,2162.6,2163,2161.6,2162.4,5184
21/07/2014 10:20,2162.4,2162.4,2158.4,2159.4,11489
21/07/2014 10:25,2159.4,2160.2,2158.6,2159.6,5850
21/07/2014 10:30,2159.8,2160.8,2157,2157,11237
21/07/2014 10:35,2157.2,2158.6,2157,2157.6,6592
21/07/2014 10:40,2157.6,2159,2156.2,2156.2,8358
21/07/2014 10:45,2156.2,2157.6,2155.6,2157.2,7725
21/07/2014 10:50,2157.4,2158,2156.2,2157.2,5513
21/07/2014 10:55,2157,2158.4,2156.4,2157.6,4752
21/07/2014 11:00,2157.8,2158.6,2156.8,2157.8,5410
21/07/2014 11:05,2157.8,2159.4,2157.6,2157.6,6612
21/07/2014 11:10,2157.8,2158.8,2157,2158.2,5151
21/07/2014 11:15,2158.6,2159.6,2158,2159.2,5307
21/07/2014 11:20,2159,2159.4,2156.8,2157.6,7117
21/07/2014 11:25,2157.4,2158.2,2157,2158,3476
21/07/2014 12:55,2157.6,2157.6,2157.6,2157.6,79
21/07/2014 13:00,2158,2158,2153.8,2154,12764
21/07/2014 13:05,2154,2154.8,2153,2153,11658
21/07/2014 13:10,2153,2153,2150.6,2152.8,16167
21/07/2014 13:15,2152.4,2153.2,2152,2152.8,6142
21/07/2014 13:20,2152.6,2153.6,2152.2,2153.2,6034
21/07/2014 13:25,2153.4,2153.8,2152.2,2153.2,5057
21/07/2014 13:30,2153.4,2154.2,2153,2154,5994
21/07/2014 13:35,2154,2157,2153.6,2156.8,10534
21/07/2014 13:40,2156.8,2157.6,2155.8,2157.6,12055
21/07/2014 13:45,2157.6,2158.6,2157,2157.8,11633
21/07/2014 13:50,2157.8,2157.8,2156.4,2157.4,6609
21/07/2014 13:55,2157.4,2161.4,2157.2,2158.8,21121
21/07/2014 14:00,2159,2159.4,2157.4,2157.4,8300
21/07/2014 14:05,2157.6,2160.4,2157.4,2160,8887
21/07/2014 14:10,2160,2161,2158,2159,9784
21/07/2014 14:15,2158.8,2161.6,2158,2160,11292
